term;keyword
met;<with>
bij;<prep>
op;<prep>
in;<prep>
van;<prep>
uit;<prep>
aantallen;<num>
aantal;<num>
vaak;<howmany>
totale;<tot>
totaal;<tot>
gemiddelde;<avg>
gemiddeld;<avg>
iedere;<all>
elke;<all>
elk;<all>
ieder;<all>
alle;<all>
al;<all>
welk;<whowhat>
wat;<whowhat>
welke;<whowhat>
wie;<whowhat>
waar;<whowhat>
per;<per>
naar;<per>
voor;<per>
over;<per>
grootste;<greatest>
grootst;<greatest>
hoogst;<greatest>
hoogste;<greatest>
maximum;<greatest>
maximaal;<greatest>
maximale;<greatest>
kleinste;<smallest>
kleinst;<smallest>
laagst;<smallest>
laagste;<smallest>
minimum;<smallest>
minimaal;<smallest>
minimale;<smallest>
meest;<most>
meeste;<most>
minst;<least>
minste;<least>
hoeveel;<howmany>
