lemma;name;type
naam;naam;CategoricalVariable
namen;naam;CategoricalVariable
heet;naam;CategoricalVariable
heten;naam;CategoricalVariable
wonen;woont op;ObjectTypeRelation
woont;woont op;ObjectTypeRelation
persoon;persoon;ObjectType
personen;persoon;ObjectType
mens;persoon;ObjectType
mensen;persoon;ObjectType
adres;adres;ObjectType
adressen;adres;ObjectType
gemeente;gemeente;ObjectType
gemeenten;gemeente;ObjectType
gemeentenaam;gemeentenaam;CategoricalVariable
huisnummers;huisnummer;CategoricalVariable
huisnummer;huisnummer;CategoricalVariable
nummer;huisnummer;CategoricalVariable
leeftijd;leeftijd;NumericalVariable
inkomen;inkomen;NumericalVariable
oud;leeftijd;NumericalVariable
oudst;leeftijd__SEP__desc;NumericalVariable
oudste;leeftijd__SEP__desc;NumericalVariable
jongst;leeftijd__SEP__asc;NumericalVariable
jongste;leeftijd__SEP__asc;NumericalVariable
gezin;adres;ObjectType
gezinnen;adres;ObjectType
inwoner;inwoner;ObjectTypeRelation
inwoners;inwoner;ObjectTypeRelation
bewoner;woont op;ObjectTypeRelation
bewoners;woont op;ObjectTypeRelation
geslacht;geslacht;CategoricalVariable
geslachten;geslacht;CategoricalVariable
man;man;Constant
mannen;man;Constant
mannelijk;man;Constant
mannelijke;man;Constant
vrouw;vrouw;Constant
vrouwen;vrouw;Constant
vrouwelijk;vrouw;Constant
vrouwelijke;vrouw;Constant
ligt;ligt in;ObjectTypeRelation
verdien;inkomen;NumericalVariable
verdient;inkomen;NumericalVariable
verdienen;inkomen;NumericalVariable
verdiend;inkomen;NumericalVariable
kolonel;kolonel;Constant
kolonels;kolonel;Constant
kolonellen;kolonel;Constant
wethouder;wethouder;Constant
wethouders;wethouder;Constant
griffier;griffier;Constant
griffiers;griffier;Constant
seismoloog;seismoloog;Constant
seismologen;seismoloog;Constant
watermanager;watermanager;Constant
watermanagers;watermanager;Constant
oogarts;oogarts;Constant
oogartsen;oogarts;Constant
industrie;industrie;Constant
industrieel;industrie;Constant
industriele;industrie;Constant
onderwijs;onderwijs;Constant
onderwijsinstelling;onderwijs;Constant
onderwijsinstellingen;onderwijs;Constant
school;onderwijs;Constant
scholen;onderwijs;Constant
bouwnijverheid;bouwnijverheid;Constant
bouwbedrijf;bouwnijverheid;Constant
bouwbedrijven;bouwnijverheid;Constant
openbaar bestuur;openbaar bestuur;Constant
zakelijke dienstverlening;zakelijke dienstverlening;Constant
zakelijke dienst;zakelijke dienstverlening;Constant
zakelijke diensten;zakelijke dienstverlening;Constant
gezondheidszorg;gezondheidszorg;Constant
werken;werkgever;ObjectTypeRelation
werkt;werkgever;ObjectTypeRelation
baan;baan;ObjectType
banen;baan;ObjectType
tjalling;Tjalling;Constant
aart van der leeuwlaan;Aart van der Leeuwlaan;Constant
prins mauritsstraat;Prins Mauritsstraat;Constant
westlandseweg;Westlandseweg;Constant
meppelerweg;Meppelerweg;Constant
lutherse burgwal;Lutherse Burgwal;Constant
coolsingel;Coolsingel;Constant
blaak;Blaak;Constant
amsterdamsestraatweg;Amsterdamsestraatweg;Constant
europalaan;Europalaan;Constant
joseph haydnlaan;Joseph Haydnlaan;Constant
rapenburg;Rapenburg;Constant
witte singel;Witte Singel;Constant
haagweg;Haagweg;Constant
klikspaanweg;Klikspaanweg;Constant
bedrijf;bedrijf;ObjectType
bedrijven;bedrijf;ObjectType
gevestigd;gevestigd op;ObjectTypeRelation
vestiging;gevestigd op;ObjectTypeRelation
salaris;salaris;NumericalVariable
activiteit;economische hoofdactiviteit;CategoricalVariable
hoofdactiviteit;economische hoofdactiviteit;CategoricalVariable
beroep;beroepen;Phenomenon
beroepen;beroepen;Phenomenon
functie;functie;CategoricalVariable
functies;functie;CategoricalVariable
woongemeente;gemeente;ObjectType
omzet;omzet;NumericalVariable
werknemer;werknemer;ObjectTypeRelation
werkgever;werkgever;ObjectTypeRelation
werknemers;werknemer;ObjectTypeRelation
werkgevers;werkgever;ObjectTypeRelation
aa en hunze;Aa en Hunze;Constant
aalburg;Aalburg;Constant
aalsmeer;Aalsmeer;Constant
aalten;Aalten;Constant
achtkarspelen;Achtkarspelen;Constant
alblasserdam;Alblasserdam;Constant
albrandswaard;Albrandswaard;Constant
alkmaar;Alkmaar;Constant
almelo;Almelo;Constant
almere;Almere;Constant
alphen aan den rijn;Alphen aan den Rijn;Constant
alphen-chaam;Alphen-Chaam;Constant
ameland;Ameland;Constant
amersfoort;Amersfoort;Constant
amstelveen;Amstelveen;Constant
amsterdam;Amsterdam;Constant
apeldoorn;Apeldoorn;Constant
appingedam;Appingedam;Constant
arnhem;Arnhem;Constant
assen;Assen;Constant
asten;Asten;Constant
baarle-nassau;Baarle-Nassau;Constant
baarn;Baarn;Constant
barendrecht;Barendrecht;Constant
barneveld;Barneveld;Constant
bedum;Bedum;Constant
beek;Beek;Constant
beemster;Beemster;Constant
beesel;Beesel;Constant
bellingwedde;Bellingwedde;Constant
berg en dal;Berg en Dal;Constant
bergeijk;Bergeijk;Constant
